"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,0,0,1,1800,3674,14041125773839263744,3675,0,0,3675,2367,1154.68,0.49,0.05,0.49,30408.69,30408.69,45257.21,11256.94,39120.44,946,946,923.07,252.86,994,4147,4147,4272.67,794.06,3861,2013,2013,17093.43,7080.11,11408,12,12,17.69,2.84,16,4.38,4.38,5.24,3.06,3.88,1.37,1.37,1.39,0.05,1.41,0,0,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,0,0,1,1800.02,2951,14041182021934319616,2952,0,0,2952,918,558.36,0.61,0.06,0.62,27280.03,27280.03,28685.45,7095.23,44142.66,694,694,570.84,152.16,468,2747,2747,2759.75,518.75,3847,2002,2002,15442.59,5344.88,20246,17,17,24.19,3.23,21,3.96,3.96,5.43,3.34,8.22,1.36,1.36,1.37,0.04,1.37,0,0,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,0,0,1,1800,2538,14041033589794564096,2539,0,0,2539,768,541.27,0.71,0.06,0.76,15025.79,15025.79,22008.14,4766.31,23127.61,418,418,398.1,104.84,491,1637,1637,2142.77,427.8,2255,3451,3451,14699.45,4349.22,16502,14,14,29.3,3.4,31,3.92,3.92,6.14,5.05,4.59,1.33,1.33,1.36,0.03,1.36,0,0,0,0
"400x400k100s16692",400,400,100,153235,6765,0,5,2,256,0,0,1,1800,764,14041027397854236672,765,0,0,765,690,1616.67,2.36,0.19,2.32,23899.62,23899.62,25748.66,4939.65,36650.55,687,687,626.16,154.44,524,2953,2953,3190,868.16,5218,215,215,10936.13,6207.19,12746,14,14,19.11,3.32,20,4.3,4.3,5.53,2.41,9.96,1.38,1.38,1.42,0.04,1.39,0,0,0,0
"400x400k20s16692",400,400,20,153235,6765,0,5,2,256,0,0,1,1800,1789,14041137276689604608,1790,0,0,1790,1615,1613.56,1.01,0.12,1.07,72213.95,72213.95,109646.43,42606.85,117967.08,4050,4050,4396.61,1146.9,4604,9867,9867,12697.54,2923.82,11572,9,9,16011.34,11752.35,14925,1,1,6.11,1.75,7,2.44,2.44,3.5,3.47,2.51,1.39,1.39,1.47,0.08,1.48,0,0,0,0
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,0,0,1,1800,1244,14042777228349208576,1245,0,0,1245,316,476.69,1.45,0.16,1.95,45172.55,45172.55,60836.46,15985.31,44135.64,1886,1886,1857.86,424.84,2489,6865,6865,7184.17,1432.03,5272,18,18,11794.29,8673.17,2306,2,2,9.26,2.13,7,3.64,3.64,4.19,1.83,2.12,1.38,1.38,1.48,0.07,1.49,0,0,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,0,0,1,1800,994,14041125711862525952,995,0,0,995,760,1388.63,1.81,0.2,2.01,33041.03,33041.03,42305.76,9755.06,47620.08,1408,1408,1151.56,267.8,1352,3911,3911,5201.44,1334.85,5404,240,240,11517.25,7974.7,5619,10,10,12.72,2.71,14,2.78,2.78,4.94,2.99,4,1.42,1.42,1.45,0.05,1.41,0,0,0,0
"400x400k80s16692",400,400,80,153235,6765,0,5,2,256,0,0,1,1800,843,1.4042777241502e+19,844,0,0,844,197,439.91,2.13,0.23,2.97,23197.03,23197.03,31741.78,6575.34,23347.79,451,451,831.96,187.15,954,2965,2965,3996,1033.27,3122,613,613,11081.61,6599.73,3352,11,11,15.99,2.92,13,6.57,6.57,5.2,2.44,3.27,1.37,1.37,1.43,0.05,1.45,0,0,0,0
"500x500k100s32414",500,500,100,242511,5001,2488,7,7,256,0,0,1,1800,366,14042774197420687360,367,0,0,367,166,846.27,4.91,0.51,5.65,33824.51,33824.51,52972.19,12206.32,43681.68,1060,1060,915.03,219.54,999,3711,3711,4614.48,759.03,3930,3517,3517,24409.18,9075.13,22378,12,12,21.97,3.18,22,3.5,3.5,5.45,2.05,3.93,1.4,1.4,1.44,0.04,1.43,0,0,0,0
"500x500k20s32414",500,500,20,242511,5001,2488,7,7,256,0,0,1,1800,786,14042774200174696448,787,0,0,787,722,1658.75,2.29,0.31,2.35,205852.9,205852.9,184068.22,75880.72,213603.02,7627,7627,5821.26,1360.7,5310,19183,19183,19678,3009.9,20462,181,181,37315.84,20909.59,51084,5,5,6.72,1.89,7,2.52,2.52,3.69,1.61,3.85,1.69,1.69,1.53,0.09,1.56,0,0,0,0
