"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"600x600k20s6306",600,600,20,342444,17364,192,10,4,256,6,2,2,1800.07,0,14059419719781195776,0,0,0,0,2264,800.79,0.35,0.04,0.29,969594.38,966887.35,752576.77,193460.31,899473.72,5823,1819,3678.82,1704.81,2097,47975,54098,47886.25,13325.43,42245,0,302181,171681.17,47615.19,227346,0,16,11.77,2.18,14,8.24,29.74,18.92,23.29,20.15,1.17,1.27,1.2,0.03,1.18,0,0,0,0
"600x600k40s6306",600,600,40,342444,17364,192,10,4,256,6,2,2,1800.15,0,14059436667709177856,0,0,0,0,7511,1616.42,0.21,0,0.14,372035.95,436163.24,363818.69,68513.39,338065.77,1499,664,1483.31,667.7,948,20308,36031,25887.19,6836.41,17109,37344,258394,154024.04,27865.88,162560,9,25,20.21,2.38,21,13.55,54.26,26.28,88.01,18.05,1.22,1.17,1.18,0.02,1.16,0,0,0,0
"600x600k60s6306",600,600,60,342444,17364,192,10,4,256,6,2,2,1800.06,0,14059623865854732288,0,0,0,0,6341,1408.46,0.22,0,0.14,211649.83,189060.18,238865.84,37717.67,248282.04,542,345,864.51,386.49,722,14940,18834,17912.92,4310,15278,50239,205245,139526.91,20406.76,149054,22,31,26.92,2.79,26,27.56,54.59,30.46,124.5,21.16,1.18,1.18,1.17,0.02,1.15,0,0,0,0
"600x600k80s6306",600,600,80,342444,17364,192,10,4,256,6,2,2,1800.02,0,14059410712852453376,0,0,0,0,2242,513.67,0.23,0,0.14,200065.83,230036.85,177036.28,24455.58,173842.08,692,280,598.48,263.51,1007,15657,16716,13823.57,3246.24,12935,58795,185886,128604.68,16351.05,117645,30,36,32.58,3.12,32,22.63,59.7,31.94,35.27,12.85,1.16,1.17,1.17,0.01,1.15,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,6,2,2,1800.02,0,14060139695238141952,0,0,0,0,27746,1056.38,0.04,0.01,0.03,12239.08,15560.69,12625.73,1590.63,10920.53,33,44,46.86,21.73,75,1272,1252,1198.37,269.88,959,5553,18179,11556.52,1428.62,11188,36,38,32.12,3.05,34,38.55,28.45,38.41,60.72,12.79,1.18,1.16,1.16,0.01,1.18,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,6,2,2,1800.01,0,14059940091239829504,0,0,0,0,47438,1501.77,0.03,0,0.02,50407.95,85935.83,64530.15,16038.81,66594.05,334,66,425.53,195.34,401,4291,5274,4905.87,1333.67,6189,0,34227,16613.37,4709.5,13429,0,15,10.76,2.04,10,12.85,79.91,17.06,35.3,15.43,1.18,1.19,1.18,0.03,1.15,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,6,2,2,1800.02,0,14060482716331730944,0,0,0,0,22721,756.67,0.03,0,0.02,27556,38124.81,31959.05,6052.36,25780.92,296,29,166.09,75.24,205,2478,3049,2687.98,693.57,2325,4312,25154,15049.85,2689.34,15104,10,22,18.05,2.24,19,8.37,105.14,23.9,57.4,11.34,1.17,1.18,1.17,0.02,1.14,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,6,2,2,1800.01,0,14059900034818627584,0,0,0,0,8138,273.32,0.03,0,0.03,14171.78,28455.75,21103.83,3296.56,24726.67,84,28,95.81,43.31,71,1450,2541,1878.59,444.98,2356,4341,21691,13461.63,2014.58,13955,17,27,23.3,2.53,20,17.26,90.75,29.44,58.55,33.18,1.15,1.16,1.16,0.02,1.19,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,6,2,2,1800,0,1.4059672966842e+19,0,0,0,0,32271,1170.08,0.04,0.01,0.03,12426.35,21964.41,15714.51,2172.95,15996.93,126,36,64.82,29.28,44,1097,1748,1450.91,333.09,1137,5686,19446,12230.49,1640.69,12147,27,30,27.62,2.79,26,8.71,48.56,33.01,55.72,25.84,1.17,1.15,1.16,0.01,1.16,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,6,2,2,1800.04,0,14059475841150271488,0,0,0,0,2796,248.34,0.09,0.01,0.06,24625.25,32827.1,29127.4,3843.96,29209.48,186,30,103.41,47.07,102,2430,2436,2678.21,624.17,2495,14168,39248,27231.56,3230.91,31766,34,35,34.82,3.13,40,13.06,81.2,38.51,82.63,24.46,1.15,1.16,1.17,0.01,1.15,0,0,0,0
